alpha,beta,gamma, mAP@20, NDCG@20
1.0,1.0,0.5,0.7492577428381721,0.6510510883040022
0.5,0.5,0.5,0.7537579595565335,0.6544141381700715
1.0,0.5,0.0,0.7312458846562007,0.6164632386372098
